client_id,client_key,client_firstname,client_lastname,client_marital_status,client_gender,client_create_dt
1079,CL00001079,Colman,Sherlock,S,M,2025-02-14
1080,CL00001080,Beibhinn,Costello,S,F,2025-02-14
1081,CL00001081,Ultan,Fearon,M,M,2025-02-15
1082,CL00001082,Saraid,Monaghan,S,F,2025-02-15
1083,CL00001083,Peadar,Breathnach,S,M,2025-02-16
1084,CL00001084,Liadan,Lennon,M,F,2025-02-16
1085,CL00001085,Carthach,Hynes,S,M,2025-02-17
1086,CL00001086,Eithne,Laffey,S,F,2025-02-17
1087,CL00001087,Malachy,Crean,M,M,2025-02-18
1088,CL00001088,Orfhlaith,Treacy,S,F,2025-02-18
1089,CL00001089,Senan,Halligan,S,M,2025-02-19
1090,CL00001090,Catriona,Naughton,M,F,2025-02-19
1091,CL00001091,Fionntán,McGrath,S,M,2025-02-20
1092,CL00001092,Aifric,O'Callaghan,S,F,2025-02-20
1093,CL00001093,Barra,Sugrue,M,M,2025-02-21
1094,CL00001094,Caitlin,Moriarty,S,F,2025-02-21
1095,CL00001095,Diarmait,Spillane,S,M,2025-02-22
1096,CL00001096,Finnuala,Quirke,M,F,2025-02-22
1097,CL00001097,Gearoid,O'Mahony,S,M,2025-02-23
1098,CL00001098,Honora,Cussen,S,F,2025-02-23
1099,CL00001099,Iarlaith,Gleeson,M,M,2025-02-24
1100,CL00001100,Jobhina,Scully,S,F,2025-02-24
